"file","caption","author","licence","source"
"banner_01.jpg","The source of the Nile, Jinja","Dror Feitelson","CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:Jinja_source_of_Nile.jpg"
"banner_02.jpg","The New Nile Bridge at the source of the Nile","Movemus","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Source_of_the_Nile_Bridge_from_Owen_Falls_Dam_Jinja_Oct_2019.jpg"
"banner_03.jpg","","","","Busoga Health Forum"
"banner_04.jpg","The Nile at dusk, near Jinja","WaKe254","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Looming_Storms_over_the_Nile.jpg"
"banner_05.jpg","Fishing on Lake Victoria at Jinja","Sushil Patel","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:FISHERMAN_IN_JINJA.jpg"
"banner_06.jpg","The New Nile Bridge, Jinja","Bridge engineer","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Source_of_the_Nile_Bridge_profile.jpg"
"banner_07.jpg","","","","Busoga Health Forum"
"banner_08.jpg","Bujagali, on the Nile","Ingo Wölbern","Public domain","https://commons.wikimedia.org/wiki/File:Bujagali_detail.jpg"
"banner_09.jpg","Where the Nile leaves Lake Victoria, Jinja","Christopher Liberty","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Source_of_the_Nile,_Jinja_Uganda_-_international_tourist_site.jpg"
"banner_10.jpg","The Nile near Jinja","M. Bellis","CC BY-SA 1.0","https://commons.wikimedia.org/wiki/File:Nile_from_Adrift.jpg"
"banner_11.jpg","Busowoko Falls, Jinja District","Sandra Aceng","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Busowoko_Falls_in_Jinja_District,_Uganda,_Africa.jpg"
"banner_12.jpg","The Nile below Jinja","Owobusingye","CC BY 4.0","https://commons.wikimedia.org/wiki/File:River_Nile,_Jinja,_Uganda_1.jpg"
"banner_13.jpg","Rapids on the Nile, Jinja","Owobusingye","CC BY 4.0","https://commons.wikimedia.org/wiki/File:River_Nile,_Jinja,_Uganda_4.jpg"
